Analógico;Digital;Configurador;ACO;ARE;CALC;PDP;SIS;SME;UFE
MSCAO_138_BABP1_KV.v;MSACL_138_CH72938_S.s;MSCAM_138_BA7B2.c;ACO_NE_CAGREC_HZ.v;ARE_2CT_GE_HIDRAULICA_MW.v;RTN_FLN_DIN_ANA013.v;RPDP.Geracao.AG.CJSINACIO;SIS_BR_AF_RESERV_ALOC_TOT_R2.v;SME_NE_AF_REDUC_GERAC_PATAMAR_1H30M.v;UFE_MS_FX_REG_CGR_MVAR.v
MSCAO_138_BABP2_KV.v;MSACL_138_CH72940_S.s;MSCAO_138_BABP1.c;ACO_NE_CAGREC_ILP.v;ARE_2CT_GE_TOT_MW.v;RTN_FLN_DIN_ANA014.v;RPDP.Geracao.AL.ALEGRIA;SIS_BR_AF_RSVGIR_MW.v;SME_NE_AF_REDUC_GERAC_PROX_PATAMAR.v;UFE_MS_FX_REG_DOU_MVAR.v
MSCAO_230_BABP1_KV.v;MSACL_138_CH72942_S.s;MSCAO_138_BABP2.c;ACO_NE_CAGREC_ILR.v;ARE_2LE_CA_GLOBAL_MW.v;RTN_FLN_DIN_ANA015.v;RPDP.Geracao.AL.ALEGRIA 2;SIS_BR_ARE_5ES_SA_ES_FX_STR_MW.v;SME_NE_AF_RSVGIR_MW.v;UFE_MS_FX_REG_DOU_MW.v
MSCAO_230_BABP2_KV.v;MSAMD_230_CH89L11_S.s;MSCAO_230_BABP1.c;ACO_NE_CAGREC_RAMPA.v;ARE_2LE_CA_SMMGD_GLOBAL_MW.v;RTN_FLN_DIN_ANA016.v;RPDP.Geracao.AM.APARECIDA 1;SIS_BR_ARE_5ES_SA_ES_GE_T1_MW.v;SME_NE_AL_AF_ELEV_GERAC_PATAMAR_1H.v;UFE_MS_GE_ASU_MVAR.v
MSCAS_138_BABP_KV.v;MSAMD_230_CH89L12_S.s;MSCAO_230_BABP2.c;ACO_NE_CAG_EMP_ECA.v;ARE_2LE_CA_TOT_MW.v;RTN_FLN_DIN_ANA017.v;RPDP.Geracao.AM.APARECIDA 2;SIS_BR_ARE_5ES_SA_ES_GE_T2B_MW.v;SME_NE_AL_AF_ELEV_GERAC_PATAMAR_1H30M.v;UFE_MS_GE_ASU_MW.v
MSCER_138_BA01_KV.v;MSAMD_230_CH89L1BP_S.s;MSCAS_138_BABP.c;ACO_NE_CA_MW.v;ARE_2LE_GE_EOLICA_MW.v;RTN_FLN_DIN_ANA018.v;RPDP.Geracao.AM.APARECIDA B1 5;SIS_BR_ARE_5ES_SA_ES_IR_STR_MW.v;SME_NE_AL_AF_ELEV_GERAC_PROX_PATAMAR.v;UFE_MS_GE_BUR_MVAR.v
MSCGA_138_BAB1_KV.v;MSAMD_230_CH89T11_S.s;MSCER_138_BA01.c;ACO_NE_CA_TOT_MW.v;ARE_2LE_GE_PARCIAL_MW.v;RTN_FLN_DIN_ANA019.v;RPDP.Geracao.AM.APARECIDA B1 6;SIS_BR_ARE_ALPE_SA_PE_FX_STR_MW.v;SME_NE_AL_AF_FPM.v;UFE_MS_GE_BUR_MW.v
MSCGB_138_BA7B1_KV.v;MSAMD_230_CH89T12_S.s;MSCER_138_BA02.c;ACO_NE_CJU_BA4ECLA_GDS.v;ARE_2LE_GE_SOLAR_FOTOVOLTAICA_MW.v;RTN_FLN_DIN_ANA020.v;RPDP.Geracao.AM.BALBINA;SIS_BR_ARE_NCO_MW.v;SME_NE_AL_AF_FPMS.v;UFE_MS_GE_CRH_MVAR.v
MSCGC_138_BABP_KV.v;MSAMD_230_CH89T1BP_S.s;MSCGA_138_BAB1.c;ACO_NE_CJU_BA4ECLA_MVAR.v;ARE_2LE_GE_TERMICA_MW.v;RTN_FLN_DIN_ANA021.v;RPDP.Geracao.AM.DISTRITO A;SIS_BR_ARE_PBRN_SA_PB_CA_MW.v;SME_NE_AL_AF_FPMS_PARCELA_SINCRONOS.v;UFE_MS_GE_CRH_MW.v
MSCGD_138_BABP_KV.v;MSAMD_230_CH89T21_S.s;MSCGA_138_BAB2.c;ACO_NE_CJU_BA4ECLA_MW.v;ARE_2LE_GE_TOT_MW.v;RTN_FLN_DIN_ANA022.v;RPDP.Geracao.AM.DISTRITO B;SIS_BR_CAG_GER_TOTAL_MW.v;SME_NE_AL_AF_FPMS_PARCELA_UGE.v;UFE_MS_GE_HID_GDS.v
MSCGE_138_BA1_KV.v;MSAMD_230_CH89T22_S.s;MSCGB_138_BA7B1.c;ACO_NE_CJU_BA4EOUR_GDS.v;ARE_2LE_GLV_TERMICA_MW.v;RTN_FLN_DIN_ANA023.v;RPDP.Geracao.AM.ELECTRON;SIS_BR_CAG_MARGEM_ELEV_PRG_MW.v;SME_NE_AL_AF_MW.S_HIDRAULICA_GER.v;UFE_MS_GE_HID_MW.v
MSCGE_138_BA1_MW.v;MSAMD_230_CH89T2BP_S.s;MSCGB_138_BA7B2.c;ACO_NE_CJU_BA4EOUR_MVAR.v;ARE_2LE_GLV_TOT_MW.v;RTN_FLN_DIN_ANA024.v;RPDP.Geracao.AM.FLORES 1;SIS_BR_CAG_MARGEM_RED_PRG_MW.v;SME_NE_AL_AF_MW.S_HIDRAULICA_SINC.v;UFE_MS_GE_MMGD_MW.v
MSCGE_138_BA2_KV.v;MSAMD_230_CH89TEI1_S.s;MSCGC_138_BABP.c;ACO_NE_CJU_BA4EOUR_MW.v;ARE_2LE_GTOT_MENOS_GTOT_ACD_MW.v;RTN_FLN_DIN_ANA025.v;RPDP.Geracao.AM.FLORES 2;SIS_BR_CAG_RES_ELEVAR_MW.v;SME_NE_AL_AF_REDUC_GERAC_PATAMAR_1H.v;UFE_MS_GE_RVL_MVAR.v
MSCGE_138_BA2_MW.v;MSAMD_230_CH89TEI2_S.s;MSCGD_138_BABP.c;ACO_NE_CJU_BA4EPND_GDS.v;ARE_2MS_CA_GLOBAL_MW.v;RTN_FLN_DIN_ANA026.v;RPDP.Geracao.AM.FLORES 3;SIS_BR_CAG_RES_REDUZIR_MW.v;SME_NE_AL_AF_REDUC_GERAC_PATAMAR_1H30M.v;UFE_MS_GE_RVL_MW.v
MSCGI_138_BAB1_KV.v;MSANA_138_CH611_S.s;MSCGE_138_BA1.c;ACO_NE_CJU_BA4EPND_MVAR.v;ARE_2MS_CA_SMMGD_GLOBAL_MW.v;RTN_FLN_DIN_ANA027.v;RPDP.Geracao.AM.FLORES 4;SIS_BR_CAG_VIOLACAO_ELEV_NUM.v;SME_NE_AL_AF_REDUC_GERAC_PROX_PATAMAR.v;UFE_MS_GE_TER_GDS.v
MSCGI_138_BAB2_KV.v;MSANA_138_CH621_S.s;MSCGE_138_BA2.c;ACO_NE_CJU_BA4EPND_MW.v;ARE_2MS_GE_MMGD_MW.v;RTN_FLN_DIN_ANA028.v;RPDP.Geracao.AM.IRANDUBA;SIS_BR_CAG_VIOLACAO_RED_NUM.v;SME_NE_AL_AF_RSVGIR_MW.V;UFE_MS_GE_TER_MW.v
MSCGI_13P8_BAFI1_KV.v;MSANA_230_CH711_S.s;MSCGI_138_BAB1.c;ACO_NE_CJU_BA5EIGT_GDS.v;ARE_2MS_SA_GO_CA_MW.v;RTN_FLN_DIN_ANA029.v;RPDP.Geracao.AM.MAUA 1;SIS_BR_CALC_PI_ANA1_MW_1.v;SME_NE_AL_USINA_XINGO_AF_NUMERO_UNID_CAG.v;UFE_MS_GE_TIPO1_2A_2C_DIS_MW.v
MSCGI_13P8_BAFI2_KV.v;MSANA_230_CH713_S.s;MSCGI_138_BAB2.c;ACO_NE_CJU_BA5EIGT_MVAR.v;ARE_2MS_SA_GO_FX_STR_MW.v;RTN_FLN_DIN_ANA030.v;RPDP.Geracao.AM.MAUA 3;SIS_BR_CALC_PI_ANA1_MW_2.v;SME_NE_BA_AF_ELEV_GERAC_PATAMAR_1H.v;UFE_MS_GE_TIPO3_2B_DIS_MW.v
MSCGJ_138_BABP_KV.v;MSANA_230_CH715_S.s;MSCGI_13P8_BAFI1.c;ACO_NE_CJU_BA5EIGT_MW.v;ARE_2MS_SA_GO_GE_T2B_MW.v;RTN_FLN_DIN_ANA031.v;RPDP.Geracao.AM.MAUA 4;SIS_BR_CALC_PI_ANA1_MW_3.v;SME_NE_BA_AF_ELEV_GERAC_PATAMAR_1H30M.v;UFE_MS_GE_TOT_GDS.v
MSCGL_138_BAB1_KV.v;MSANA_230_CH717_S.s;MSCGI_13P8_BAFI2.c;ACO_NE_CJU_BAABD_GDS.v;ARE_2MS_SA_GO_GE_T3_MW.v;RTN_FLN_DIN_ANA032.v;RPDP.Geracao.AM.MAUA 5A;SIS_BR_CALC_PI_ANA1_MW_4.v;SME_NE_BA_AF_ELEV_GERAC_PROX_PATAMAR.v;UFE_MS_GE_TOT_MW.v
MSCGM_138_BAB1_KV.v;MSANA_230_CH731_S.s;MSCGJ_138_BABP.c;ACO_NE_CJU_BAABD_MVAR.v;ARE_2MS_SA_MS_CA_CRB_MW.v;RTN_FLN_DIN_ANA033.v;RPDP.Geracao.AM.MAUA 5B;SIS_BR_CALC_PI_ANA1_MW_5.v;SME_NE_BA_AF_FPM.v;UFE_MS_INT_EXT_DIS_MW.v
MSCGP_138_BAB1_KV.v;MSANA_230_CH733_S.s;MSCGJ_138_BABT.c;ACO_NE_CJU_BAABD_MW.v;ARE_2MS_SA_MS_CA_MW.v;RTN_FLN_DIN_ANA034.v;RPDP.Geracao.AM.MAUA 6;SIS_BR_CALC_PI_ANA1_MW_6.v;SME_NE_BA_AF_FPMS.v;UFE_MS_TEMP_CGR_TEMP.v
MSCGR_138_BAA_HZ.v;MSANA_230_CH735_S.s;MSCGL_138_BAB1.c;ACO_NE_CJU_BAABL_GDS.v;ARE_2MS_SA_MS_FX_STR_MW.v;RTN_FLN_DIN_ANA035.v;RPDP.Geracao.AM.MAUA 7;SIS_BR_CALC_PI_ANA1_MW_7.v;SME_NE_BA_AF_FPMS_PARCELA_SINCRONOS.v;UFE_PR_CA_69_CBA_MW.v
MSCGR_138_BAA_KV.v;MSANA_230_CH737_S.s;MSCGL_138_BAB2.c;ACO_NE_CJU_BAABL_MVAR.v;ARE_2MS_SA_MS_GE_MMGD_MW.v;RTN_FLN_DIN_ANA036.v;RPDP.Geracao.AM.MAUA BLOCO 3;SIS_BR_CALC_PI_ANA1_MW_8.v;SME_NE_BA_AF_FPMS_PARCELA_UGE.v;UFE_PR_CA_AREA_GNB_MW.v
MSCGR_138_BAB_HZ.v;MSANA_230_CH741_S.s;MSCGM_138_BAB1.c;ACO_NE_CJU_BAABL_MW.v;ARE_2MS_SA_MS_GE_T1_MW.v;RTN_FLN_DIN_ANA037.v;RPDP.Geracao.AM.SAO JOSE;SIS_BR_CALC_PI_ANA1_MW_9.v;SME_NE_BA_AF_MW.S_HIDRAULICA_GER.v;UFE_PR_CA_CONS_COP_230_MW.v
MSCGR_138_BAB_KV.v;MSANA_230_CH743_S.s;MSCGM_138_BAB2.c;ACO_NE_CJU_BAALV_GDS.v;ARE_2MS_SA_MS_GE_T2B_MW.v;RTN_FLN_DIN_ANA038.v;RPDP.Geracao.AR.CJJCAMARA3_ ATLANTIC;SIS_BR_CALC_PI_ANA2_MW_1.v;SME_NE_BA_AF_MW.S_HIDRAULICA_SINC.v;UFE_PR_CA_COPEL_DIS_MW.v
MSCGS_138_BA7B1_KV.v;MSANA_230_CH745_S.s;MSCGP_138_BAB1.c;ACO_NE_CJU_BAALV_MW.v;ARE_2MS_SA_MS_GE_T2C_MW.v;RTN_FLN_DIN_ANA039.v;RPDP.Geracao.AR.CJMORRINHOS;SIS_BR_CALC_PI_ANA2_MW_2.v;SME_NE_BA_AF_MW.S_SINCRONO.v;UFE_PR_CA_COPEL_DIS_MW_1.v
MSCGT_138_BA1_KV.v;MSANA_230_CH747_S.s;MSCGR_138_BAA.c;ACO_NE_CJU_BAARA_GDS.v;ARE_2MS_SA_MS_GE_T3_MW.v;RTN_FLN_DIN_ANA040.v;RPDP.Geracao.AR.EURUS II;SIS_BR_CALC_PI_ANA2_MW_3.v;SME_NE_BA_AF_MW.S_TERMICA.v;UFE_PR_CA_COPEL_MW.v
MSCGT_138_BA2_KV.v;MSANA_230_CH761_S.s;MSCGR_138_BAB.c;ACO_NE_CJU_BAARA_MVAR.v;ARE_2MS_SA_MS_IR_STR_MW.v;RTN_FLN_DIN_ANA041.v;RPDP.Geracao.AR.RENASCENCA5;SIS_BR_CALC_PI_ANA2_MW_4.v;SME_NE_BA_AF_REDUC_GERAC_PATAMAR_1H.v;UFE_PR_CA_COPEL_MW_1.v
MSCGT_230_BA1_KV.v;MSANA_230_CH763_S.s;MSCGS_138_BA7B1.c;ACO_NE_CJU_BAARA_MW.v;ARE_2NO_CA_GLOBAL_MW.v;RTN_FLN_DIN_ANA042.v;RPDP.Geracao.AT.CJMARMELEIRO 2;SIS_BR_CALC_PI_ANA2_MW_5.v;SME_NE_BA_AF_REDUC_GERAC_PATAMAR_1H30M.v;UFE_PR_CA_DIS_MW.v
MSCGT_230_BA2_KV.v;MSANA_230_CH765_S.s;MSCGS_138_BA7B2.c;ACO_NE_CJU_BAARI_GDS.v;ARE_2NO_CA_GLV_MW.v;RTN_FLN_DIN_ANA043.v;RPDP.Geracao.B1.LDCBLAGOADAPRATA;SIS_BR_CALC_PI_ANA2_MW_6.v;SME_NE_BA_AF_REDUC_GERAC_PROX_PATAMAR.v;UFE_PR_CA_GLOBAL_MW.v
MSCOR2_138_BABP_KV.v;MSANA_230_CH767_S.s;MSCGT_138_BA1.c;ACO_NE_CJU_BAARI_MVAR.v;ARE_2NO_CA_SMMGD_GLOBAL_MW.v;RTN_FLN_DIN_ANA044.v;RPDP.Geracao.BA.BARRA GRANDE;SIS_BR_CALC_PI_ANA2_MW_7.v;SME_NE_BA_AF_RSVGIR_MW.V;UFE_PR_CA_GLV_MW.v
MSCOR2_138_BABT_KV.v;MSANA_230_CH771_S.s;MSCGT_138_BA2.c;ACO_NE_CJU_BAARI_MW.v;ARE_2NO_CA_TOT_MW.v;RTN_FLN_DIN_ANA045.v;RPDP.Geracao.BB.BEBERIBE;SIS_BR_CALC_PI_ANA2_MW_8.v;SME_NE_BA_APOLONIO_SALES_AF_NUMERO_UNID_CAG.v;UFE_PR_CA_KLA_MW.v
MSCOR2_230_BABP_KV.v;MSANA_230_CH773_S.s;MSCGT_230_BA1.c;ACO_NE_CJU_BABAB_GDS.v;ARE_2NO_CA_TOT_MW_2.v;RTN_FLN_DIN_ANA046.v;RPDP.Geracao.BB.CJTRAIRI;SIS_BR_CALC_PI_ANA2_MW_9.v;SME_NE_BA_ITAPEBI_US_AF_NUMERO_UNID_CAG.v;UFE_PR_CA_LIT_PR_MW.v
MSCOR2_230_BABT_KV.v;MSANA_230_CH781_S.s;MSCGT_230_BA2.c;ACO_NE_CJU_BABAB_MVAR.v;ARE_2NO_GE_EOLICA_MW.v;RTN_FLN_DIN_ANA047.v;RPDP.Geracao.BB.CJUMBURANAS;SIS_BR_CARGAMAX_RECOMP_MW.v;SME_NE_BA_P.DO_CAVALO_AF_NUMERO_UNID_CAG.v;UFE_PR_CA_MET_CBA_MW.v
MSCOR_138_BABP_KV.v;MSANA_230_CH783_S.s;MSCOR2_138_BABP.c;ACO_NE_CJU_BABAB_MW.v;ARE_2NO_GE_HIDRAULICA_MW.v;RTN_FLN_DIN_ANA048.v;RPDP.Geracao.BB.FLEIXEIRAS;SIS_BR_CA_BELEM_NE_PARA_MW.v;SME_NE_BA_P._AFONSO_III_AF_NUMERO_UNID_CAG.v;UFE_PR_CA_MW.v
MSCRU_138_BABP_KV.v;MSANA_230_CH785_S.s;MSCOR2_138_BABT.c;ACO_NE_CJU_BABBC_GDS.v;ARE_2NO_GE_SOLAR_FOTOVOLTAICA_MW.v;RTN_FLN_DIN_ANA049.v;RPDP.Geracao.BB.GUAJIRU;SIS_BR_CA_D_ANT_MW.V;SME_NE_BA_P._AFONSO_II_AF_NUMERO_UNID_CAG.v;UFE_PR_CA_N_PR_MW.v
MSCSU_138_BABP_KV.v;MSANA_230_CH787_S.s;MSCOR2_230_BABP.c;ACO_NE_CJU_BABBC_MVAR.v;ARE_2NO_GE_TERMICA_MW.v;RTN_FLN_DIN_ANA050.v;RPDP.Geracao.BB.MUNDAU;SIS_BR_CA_PROG_MW.v;SME_NE_BA_P._AFONSO_IV_AF_NUMERO_UNID_CAG.v;UFE_PR_CA_SMMGD_GLOBAL_MW.v
MSDOA_138_BA7B1_KV.v;MSANA_230_CH791_S.s;MSCOR2_230_BABT.c;ACO_NE_CJU_BABBC_MW.v;ARE_2NO_GE_TOT_MW.v;RTN_FLN_DIN_ANA051.v;RPDP.Geracao.BB.PEDRA DO SAL;SIS_BR_CA_PROPRIA_AUX_MW.v;SME_NE_BA_P._AFONSO_I_AF_NUMERO_UNID_CAG.v;UFE_PR_CA_TOT_MW.v
MSDOD_138_BAB1_KV.v;MSANA_230_CH793_S.s;MSCOR_138_BABP.c;ACO_NE_CJU_BABBS_GDS.v;ARE_2NO_GLV_TERMICA_MW.v;RTN_FLN_DIN_ANA052.v;RPDP.Geracao.BB.TRAIRI;SIS_BR_CA_PROPRIA_MW.v;SME_NE_BA_U.SOBRADINHO_AF_NUMERO_UNID_CAG.v;UFE_PR_CA_TOT_MW_1.v
MSDOI_138_BA7B1_KV.v;MSANA_230_CH795_S.s;MSCOR_138_BABT.c;ACO_NE_CJU_BABBS_MVAR.v;ARE_2NO_GLV_TOT_MW.v;RTN_FLN_DIN_ANA053.v;RPDP.Geracao.BC.ANGELINA;SIS_BR_CA_PROPRIA_MW2.v;SME_NE_CA_GLV_MW.v;UFE_PR_CA_TOT_MW_2.v
MSDOM_138_BA7B1_KV.v;MSANA_230_CH797_S.s;MSCRU_138_BABP.c;ACO_NE_CJU_BABBS_MW.v;ARE_2OE_CA_GLOBAL_MW.v;RTN_FLN_DIN_ANA054.v;RPDP.Geracao.BC.C.LAJ.GRANDE;SIS_BR_CA_PROPRIA_SME_N_NE_MW.v;SME_NE_CA_MW.v;UFE_PR_CA_UTBE_MW.v
MSDOS_138_BAB1_KV.v;MSANA_230_CH799_S.s;MSCSU_138_BABP.c;ACO_NE_CJU_BABJL_GDS.v;ARE_2OE_CA_GLV_MW.v;RTN_FLN_DIN_ANA055.v;RPDP.Geracao.BC.CACADOR;SIS_BR_CA_PROPRIA_SME_S_SE_MW.v;SME_NE_CA_PERDAS_MW.v;UFE_PR_CA_UTKC_MW.v
MSDOS_138_BAB2_KV.v;MSANA_230_CH801_S.s;MSCSU_138_BABT.c;ACO_NE_CJU_BABJL_MVAR.v;ARE_2OE_CA_SMMGD_GLOBAL_MW.v;RTN_FLN_DIN_ANA056.v;RPDP.Geracao.BC.COTIPORA;SIS_BR_CA_SMMGD_MW.v;SME_NE_CA_PROPRIA_GDS.v;UFE_PR_FX_DIS_MW.v
MSDOU2_138_BAB1_KV.v;MSANA_230_CH803_S.s;MSDOA_138_BA7B1.c;ACO_NE_CJU_BABJL_MW.v;ARE_2OE_CA_TOT_MW.v;RTN_FLN_DIN_ANA057.v;RPDP.Geracao.BC.L EMILIA;SIS_BR_CA_TOT_UFE_HV_MW.v;SME_NE_CA_PROPRIA_MW.v;UFE_PR_FX_LIT_PR_MVAR.v
MSDOU2_138_BAB2_KV.v;MSANA_230_CH805_S.s;MSDOD_138_BAB1.c;ACO_NE_CJU_BABJU_GDS.v;ARE_2OE_CA_TOT_MW_2.v;RTN_FLN_DIN_ANA058.v;RPDP.Geracao.BC.PCHIDROMS;SIS_BR_CORTE_UG_ITAIPU_LG_14_MW.v;SME_NE_CA_SMMGD_MW.v;UFE_PR_FX_MET_CBA_MVAR.v
MSDOU2_230_BAB1_KV.v;MSANA_230_CH807_S.s;MSDOD_138_BAB2.c;ACO_NE_CJU_BABJU_MVAR.v;ARE_2OE_GE_230_EOLICA_MW.v;RTN_FLN_DIN_ANA059.v;RPDP.Geracao.BC.PCHIDROPR;SIS_BR_CORTE_UG_ITAIPU_LG_15_MW.v;SME_NE_CE_AF_ELEV_GERAC_PATAMAR_1H.v;UFE_PR_FX_N_PR_MVAR.v
MSDOU2_230_BAB2_KV.v;MSANA_230_CH809_S.s;MSDOI_138_BA7B1.c;ACO_NE_CJU_BABJU_MW.v;ARE_2OE_GE_230_OESTE_MW.v;RTN_FLN_DIN_ANA060.v;RPDP.Geracao.BC.PCHIDROSC;SIS_BR_CRITERIO_N-1.v;SME_NE_CE_AF_ELEV_GERAC_PATAMAR_1H30M.v;UFE_PR_FX_TR_525_MW.v
MSDOU_13P8_BACA01_KV.v;MSANA_230_CH811_S.s;MSDOI_138_BA7B2.c;ACO_NE_CJU_BABMC_GDS.v;ARE_2OE_GE_EOLICA_MW.v;RTN_FLN_DIN_ANA061.v;RPDP.Geracao.BC.VISTAALEGRE;SIS_BR_DELTATOTAL_MW.v;SME_NE_CE_AF_ELEV_GERAC_PROX_PATAMAR.v;UFE_PR_GE_525_MW.v
MSDOU_13P8_BACA02_KV.v;MSANA_230_CH813_S.s;MSDOM_138_BA7B1.c;ACO_NE_CJU_BABMC_MVAR.v;ARE_2OE_GE_HIDRAULICA_MW.v;RTN_FLN_DIN_ANA062.v;RPDP.Geracao.BE.BBRAUNA;SIS_BR_DESVIO_INTERC_ESRIV_MW.v;SME_NE_CE_AF_MW.S_TERMICA.v;UFE_PR_GE_COPEL_G2_MW.v
MSDOU_13P8_BACA03_KV.v;MSANA_230_CH815_S.s;MSDOS_138_BAB1.c;ACO_NE_CJU_BABMC_MW.v;ARE_2OE_GE_SOLAR_FOTOVOLTAICA_MW.v;RTN_FLN_DIN_ANA063.v;RPDP.Geracao.BE.BREITENER;SIS_BR_DESVIO_INTERC_IEGBI1_MW.v;SME_NE_CE_AF_REDUC_GERAC_PATAMAR_1H.v;UFE_PR_GE_DIS_CEL_MW.v
MSDOU_13P8_BACA04_KV.v;MSANA_230_CH817_S.s;MSDOS_138_BAB2.c;ACO_NE_CJU_BABRD_GDS.v;ARE_2OE_GE_TERMICA_MW.v;RTN_FLN_DIN_ANA064.v;RPDP.Geracao.BE.IBOTELHO1;SIS_BR_DESVIO_INTERC_IEGBI2_MW.v;SME_NE_CE_AF_REDUC_GERAC_PATAMAR_1H30M.v;UFE_PR_GE_DIS_CTA_MW.v
MSDOU_230_BAPT_HZ.v;MSAQU_138_CH72902_S.s;MSDOU2_138_BAB1.c;ACO_NE_CJU_BABRD_MVAR.v;ARE_2OE_GE_TOT_MW.v;RTN_FLN_DIN_ANA065.v;RPDP.Geracao.BE.IBOTELHO2;SIS_BR_DESVIO_INTERC_IEMLO_MW.v;SME_NE_CE_AF_REDUC_GERAC_PROX_PATAMAR.v;UFE_PR_GE_DIS_LIT_MW.v
